id,setting_1,setting_2,Title,sent_1,sent_2,sent_3,sent_4,sent_5,character_1_name,character_2_name,setting_1_replace,setting_2_replace,type
07c0c014-7782-44e2-9f83-04c5373e03ca,Margaret is an athelete.,Dorothy is Margaret's sister.,Margaret and Dorothy Have A Scare,"Margaret was getting ready for her track meet tomorrow, when her sister, Dorothy, knocked on her bedroom door.","Margaret turned around as Dorothy entered, just in time to see Dorothy trip over a stuffed animal and fall onto the floor.",Dorothy hit her head and Margaret ran over to her.,"Margaret was very concerned, but Dorothy wasn't hurt.",She got up and they both had a laugh about the incident.,Margaret,Dorothy,__character_1__ is an athelete.,__character_2__ is __character_1__'s sister.,Human
a634c911-c902-4c7b-bb5d-f28067c25853,Jessica is a violinist.,Dorothy is a music teacher of Jessica.,Creepy Tunes,Jessica is a beginner violinist.,Her music teacher is Dorothy who has been teaching music for 23 years.,Dorothy has taken a special interest in Jessica because she looks so much like her daughter.,Jessica starts to feel uncomfortable with the amount of attention Dorothy is giving her.,She decides to make a complaint and Dorothy is fired from her job of 23 years.,Jessica,Dorothy,__character_1__ is a violinist.,__character_2__ is a music teacher of __character_1__.,Human
2169bfbb-4793-4c65-a91c-79aab66f5f10,Thomas is a pianist.,Robert is Thomas's brother.,Beautiful Sounds,Thomas is a concert pianist.,He is about to play a sold out show.,His brother Thomas has always been his biggest supporter.,Thomas is sitting in the audience.,"As his brother begins to play, he is brought to tears by the beauty of the sound.",Thomas,Robert,__character_1__ is a pianist.,__character_2__ is __character_1__'s brother.,Human
b05f1267-49d7-4f2c-ac10-61035bd9f65d,Leonardo is an office worker.,Mary is Leonardo's colleague.,The Stalker,Mary and Leonardo are colleagues at the same office.,Leonardo think's Mary is really cute.,He starts making inappropriate remarks which makes her uncomfortable.,"One night, she see's Leonardo outside of her window.",She call's the police and he is arrested and fired.,Leonardo,Mary,__character_1__ is an office worker.,__character_2__ is __character_1__'s colleague.,Human
9f563361-8f4a-4663-81b3-ce8079d00451,Margaret is an athelete.,Robert is Margaret's rival.,Athletics rivalry,Margaret worked hard to achieve her goal to become a great athlete.,Most people of proud of her and her accomplishments.,There were also some who were jealous of her success.,Robert was one such person.,He soon developed unhealthy rivalry with her.,Margaret,Robert,__character_1__ is an athelete.,__character_2__ is __character_1__'s rival.,Human
eab2f772-5a26-4df4-a9a5-9f5a36cff04e,Richard is an athlete.,Robert is Richard's teammate.,The athletics team,Richard is an athlete by profession.,He is a part of a very good team.,He shares a healthy bond with most of his teammates.,Robert is also a part of the team.,They share a cordial relationship with each other.,Richard,Robert,__character_1__ is an athlete.,__character_2__ is __character_1__'s teammate.,Human
18afe540-fb9f-4e97-8ded-ee53ca42f199,Kevin is an office worker.,Max is Kevin's dog.,Max Rescues Small Boy,Kevin works in the office of XYZ pet food company.,"His dog, Max, accompanies him to work every day because Kevin is a war vet and needs Max's help.",One day as they were walking to work Max ran over to a young boy who was crying because he had missed his school bus.,Max licked the child's face making him laugh.,"As the child laughed Kevin got his mom's number, called her and she came for the boy.",Kevin,Max,__character_1__ is an office worker.,__character_2__ is __character_1__'s dog.,Human
1f0d74a8-501c-4b65-9d17-76d9d27be95f,Mary is a high school student.,Robert is Mary's classmate.,A friend in need indeed,Mary and Robert went to the same high school.,They also lived in the same neighbourhood.,They ended up being good friends.,Mary was good in studies and scored good grades.,"When Robert's grades degraded, Mary offered to help him",Mary,Robert,__character_1__ is a high school student.,__character_2__ is __character_1__'s classmate.,Human
0a595c3f-370f-4f98-a2cc-0f32330cc4cd,Kent is an elementary school student.,David is a close friend of Kent.,The boring walk,Kent asked his mom if he could walk to school that day.,She said yes but he better be careful.,Kent decided to call David so he could walk with a friend.,David's mom said it was fine.,Kent and David made it safely to school.,Kent,David,__character_1__ is an elementary school student.,__character_2__ is a close friend of __character_1__.,Human
9b40215a-4062-4bea-8820-33dc41bd28d0,Charles is a teacher.,Dorothy is Charles's rival.,Healthy competition,Charles is a teacher in school where Dorothy also teaches.,They both are competitive on becoming best teachers.,Charles worked really hard to win best teacher award to be given on Annual day.,"Dorothy won the best teacher award, which he passed it on Charles for his hard work.",Charles felt honored and became good friend with Dorothy.,Charles,Dorothy,__character_1__ is a teacher.,__character_2__ is __character_1__'s rival.,Human
385b53e8-d9d6-44c2-9582-03fdc3fb0e91,Kevin is an office worker.,Max is Kevin's dog.,The Park.,Kevin is an office worker who loves his dog Max.,Its Sunday morning and Max and Kevin are going to the park.,They wake up early and get there before daylight and before anyone else is there.,Kevin lets Max off his lease and he starts throwing a frisbee to Max to chase.,At the end of the morning they get back in their car and realize they have started a Sunday tradition.,Kevin,Max,__character_1__ is an office worker.,__character_2__ is __character_1__'s dog.,Human
4bc1d7ea-4f14-4cfd-8d42-ef273ed4b648,Trisha is an office worker.,Linda is a close friend of Trisha.,Take a risk in work.,Trisha and Linda are great friends.,Trisha is so burnt out working in the office all day and wishes she could travle like Linda.,Linda told Trisha her job is hiring.,Trisha applied to work with Linda.,Trisha and Linda travel with work and love every minute of it.,Trisha,Linda,__character_1__ is an office worker.,__character_2__ is a close friend of __character_1__.,Human
