id,setting_1,setting_2,Title,sent_1,sent_2,sent_3,sent_4,sent_5
a4195fe5-d747-421b-a836-1a2cb968bf06,Richard is an athlete.,Linda is a close friend of Richard.,Starless,Richard and Linda have been close friends for 10 years.,He is the star baseball player at Hunters College.,"One day, Robert gets hurt playing baseball.","He expects his close friend Linda to be there for him, but she's not.",She leaves Richard because he isn't a star anymore.
f3686937-2f4f-4dd7-a20b-42b8ede218b0,Richard is an athlete.,Linda is a close friend of Richard.,friends never let you down.,Richard and linda became close friends from a near by athlete academy.,they used to train their and they get to know each other.,One day  when linda was practicing she twisted her ankle by accident and she was in pain.,Suddenly richard saw that and took her in his hands and ran all way to the hospital.,After the treatment she became well and thanked richard.
1c2f827b-6237-4219-87de-a72cb95f160b,Richard is an athlete.,Linda is a close friend of Richard.,Afternoon Hoops,Richard was going to go shoot some hoops.,Before he left the house he decided to call Linda.,Linda was not doing anything so she said she would go along.,He was thrilled to have friendly company.,Since they were so happy they shot for hours.
a1a26a4d-8f1a-4148-8cfa-a7ccab5f98e4,Richard is an athlete.,Linda is a friend of Richard.,Friendship Fuel,Richard had just got done with football practice when Linda called.,Her car had broken down and she needed help.,Richard was 20 minutes away from her but was glad to help.,Richard drove to Linda only to discover her car was out of gas.,He helped her get gas and get back on the road.
7b26a847-f4f0-49ee-b073-3e556b8cf6a8,Richard is an athlete.,Linda is a friend of Richard.,Friends First,Richard has high hopes of getting out of the minor leagues into Major-League Baseball.,"His longtime friend, Linda, encourages him to keep trying regardless of what anyone might say against his chances.","At a recent minor-league game, Richard saw Linda cheering for him in the stands.",He realized then that he loved her more than just being friends could bear.,He decided to tell her after the game.
c3fc9411-6658-436d-b310-9ac71c21296c,Richard is an athlete.,Linda is a friend of Richard.,On Track Again,Richard was getting really nervous about the track meet.,He was one of three athletes to make it to the final meet.,His friend Linda went with him because he had no family and she wanted to show her support for him.,He crossed the finish line and fell to his knees in emotion.,Linda ran over to him and hugged him tightly and to let him know how proud she was that he placed first in the meet.
ff2311c8-1b37-4885-9b91-eb4d016944e2,Richard is an athlete.,Linda is a friend of Richard.,The Shrine Killer,Linda and Richard have been friends for 2 years.,Richard is an athlete at their High School.,Linda is secretly in love with Richard and has a shrine in her closet.,One day Richard discovers the shrine and calls Linda crazy.,"Linda is scared he will tell someone, so she kills him."
93c7022f-bf39-4c80-aa2c-39e025f7d60e,Richard is an athlete.,Linda is a person that Richard does not like.,You should not be racist.,Richard does not like the new umpire.,"She is a woman, Linda, and he feels she does not do as good of a job as a man.",The first time Richard pitches and she is calling balls and strikes he changes his mind.,Linda had a wide strike zone that Richard likes.,Richard complaints Linda on a good job.
d63826a5-a7b7-4694-bb67-ccb9b3ffc5eb,Richard is an athlete.,Linda is a person that Richard does not like.,Avoidance,Richard was out for a run after work.,As he was in the middle of mile 2 he saw Linda coming down the road.,He really did not want to talk to her and slow down.,He turned down the next road he could in hopes he would miss her.,She kept going straight and they did not have to talk.
b28bbfbe-e4bd-417e-bdb2-a806e1f43618,Richard is an athlete.,Linda is a person that Richard does not like.,The Cocky Crybaby,Linda does not like Richard because he is a cocky athlete.,He acts this way because he really likes her.,One day Richard confesses his love to Linda.,She is disgusted and smacks him in front of everyone.,Richard is hurt and runs away crying.
269d277c-cbdb-4a3b-a188-14249f7c0db0,Richard is an athlete.,Linda is a person that Richard does not like.,"Baby Mamma, So Much Drama!",Richard is a star football player.,"Richard cannot stand Linda, as she is his ex-wife.",He feels she went after him for his money and child support.,"She refuses to co-parent properly, or let him see his child.","Richard wishes Linda would go away, and let him raise his son on his own."
7011b4c5-ff72-4721-a664-4d2be88a0866,John is a high school student.,Dorothy is John's mother.,Somethings are better than a mom,John never wants to take the bus to high school.,Dorothy feels John is too old to be taken to school by his mom.,John still asks Dorothy everyday for a ride.,One day Dorothy arranges for her friends son to stop and pick John up.,John is proud that he has a friend that can drive his to school.
aadcaa21-527c-4ffc-9cce-42c4750a6f05,John is a high school student.,Dorothy is John's mother.,The Mama's Boy,Dorothy teaches at her son John's High School.,He is the popular kid at school and everyone looks up to him.,"One day, Dorothy walks into John's class and gives him a kiss in front of everyone.",John is embarrassed and everyone starts laughing.,People start teasing and bullying him because he is a mama's boy.
